Feature
TimeDateStamp
rsrc_Misc_VirtualSize
text_Misc_VirtualSize
rsrc_PointerToRawData
MajorLinkerVersion
AddressOfEntryPoint
text_SizeOfRawData
DllCharacteristics
SizeOfCode
SizeOfInitializedData
rsrc_SizeOfRawData
rsrc_VirtualAddress
SizeOfImage
mscoree.dll
reloc_PointerToRawData
SectionAlignment
kernel32.dll
msvbvm60.dll
reloc_VirtualAddress
FileAlignment
user32.dll
data_Characteristics
reloc_Characteristics
SizeOfHeaders
gdi32.dll
Characteristics
rdata_Characteristics
mfc42.dll
CheckSum
e_lfanew
winmm.dll
Subsystem
rsrc_Characteristics
MajorSubsystemVersion
NumberOfSections
msvcrt.dll
data_Misc_VirtualSize
advapi32.dll
oleaut32.dll
MajorOperatingSystemVersion
data_SizeOfRawData
data_PointerToRawData
data_VirtualAddress
shell32.dll
ole32.dll
comctl32.dll
shlwapi.dll
version.dll
rdata_PointerToRawData
text_PointerToRawData
rdata_VirtualAddress
MajorImageVersion
MinorSubsystemVersion
text_Characteristics
MinorLinkerVersion
reloc_SizeOfRawData
rdata_Misc_VirtualSize
comdlg32.dll
SizeOfUninitializedData
SizeOfOptionalHeader
Magic
reloc_Misc_VirtualSize
rdata_SizeOfRawData
msvcr90.dll
idata_Characteristics
winspool.drv
MinorOperatingSystemVersion
winhttp.dll
e_minalloc
msvcp90.dll
tls_Characteristics
ncrypt.dll
gdiplus.dll
Machine
e_cp
bss_Characteristics
pdata_Characteristics
e_ovno
text_VirtualAddress
oledlg.dll
idata_SizeOfRawData
e_cblp
ImageBase
oleacc.dll
BaseOfCode
idata_Misc_VirtualSize
e_maxalloc
shfolder.dll
NumberOfRvaAndSizes
msimg32.dll
e_csum
SizeOfStackReserve
MinorImageVersion
e_ip
idata_PointerToRawData
ws2_32.dll
psapi.dll
imagehlp.dll
idata_VirtualAddress
tls_PointerToRawData
tls_Misc_VirtualSize
libintl-8.dll
bss_VirtualAddress
e_ss
crypt32.dll
urlmon.dll
wsock32.dll
tls_VirtualAddress
tls_SizeOfRawData
libgimpbase-2.0-0.dll
wininet.dll
e_lfarlc
netapi32.dll
SizeOfHeapReserve
e_oeminfo
libgimp-2.0-0.dll
msys-1.0.dll
e_cs
bss_Misc_VirtualSize
bss_PointerToRawData
bss_SizeOfRawData
mpr.dll
msvcr110.dll
e_crlc
e_oemid
libgobject-2.0-0.dll
userenv.dll
msys-intl-8.dll
cabinet.dll
libglib-2.0-0.dll
ntdll.dll
e_cparhdr
pdata_SizeOfRawData
wtsapi32.dll
api-ms-win-core-processthreads-l1-1-2.dll
api-ms-win-core-libraryloader-l1-2-0.dll
api-ms-win-core-errorhandling-l1-1-1.dll
rpcrt4.dll
setupapi.dll
api-ms-win-core-profile-l1-1-0.dll
libgtk-win32-2.0-0.dll
